,terms,id_doc,freq
784,lindsey,1,1
785,baden,1,1
786,brigham,1,1
787,women,1,1
788,hospital,1,1
789,boston,1,1
790,massachusetts,1,1
791,hana,1,1
792,el,1,1
793,sahly,1,1
794,baylor,1,1
795,college,1,1
796,medicine,1,1
797,houston,1,1
798,texas,1,1
799,colleagues,1,1
800,published,1,1
801,results,1,1
802,vaccine,1,1
803,trial,1,1
804,enrolled,1,1
805,volunteers,1,1
806,half,1,1
807,received,1,1
808,two,1,1
809,doses,1,1
810,placebo,1,1
811,half,1,1
812,received,1,1
813,two,1,1
814,doses,1,1
815,vaccine,1,1
816,days,1,1
817,apart,1,1
818,baden,1,1
819,et,1,1
820,al,1,1
821,engl,1,1
822,med,1,1
823,https,1,1
824,the,1,1
825,vaccine,1,1
826,effective,1,1
827,preventing,1,1
828,symptomatic,1,1
829,preliminary,1,1
830,analysis,1,1
831,hints,1,1
832,one,1,1
833,dose,1,1
834,vaccine,1,1
835,might,1,1
836,also,1,1
837,provide,1,1
838,defence,1,1
839,asymptomatic,1,1
840,disease,1,1
841,authors,1,1
842,write,1,1
843,all,1,1
844,trial,1,1
845,participants,1,1
846,developed,1,1
847,severe,1,1
848,placebo,1,1
849,arm,1,1
850,about,1,1
851,half,1,1
852,volunteers,1,1
853,received,1,1
854,vaccine,1,1
855,experienced,1,1
856,side,1,1
857,effects,1,1
858,headaches,1,1
859,second,1,1
860,dose,1,1
861,but,1,1
862,serious,1,1
863,side,1,1
864,effects,1,1
865,rare,1,1
866,occurred,1,1
867,frequently,1,1
868,placebo,1,1
869,group,1,1
870,vaccinated,1,1
871,group,1,1
872,december,1,1
873,how,1,1
874,french,1,1
875,covid,1,1
876,cases,1,1
877,evaded,1,1
878,detection,1,1
879,in,1,1
880,weeks,1,1
881,france,1,1
882,ended,1,1
883,first,1,1
884,lockdown,1,1
885,nine,1,1
886,residents,1,1
887,symptoms,1,1
888,went,1,1
889,undetected,1,1
890,every,1,1
891,person,1,1
892,confirmed,1,1
893,disease,1,1
894,despite,1,1
895,nationwide,1,1
896,surveillance,1,1
897,programme,1,1
898,france,1,1
899,reopened,1,1
900,may,1,1
901,adopted,1,1
902,strategy,1,1
903,testing,1,1
904,contact,1,1
905,tracing,1,1
906,case,1,1
907,isolation,1,1
908,keep,1,1
909,coronavirus,1,1
910,check,1,1
911,to,1,1
912,assess,1,1
913,results,1,1
914,vittoria,1,1
915,colizza,1,1
916,pierre,1,1
917,louis,1,1
918,institute,1,1
919,epidemiology,1,1
920,public,1,1
921,health,1,1
922,paris,1,1
923,colleagues,1,1
924,modelled,1,1
925,transmission,1,1
926,france,1,1
927,late,1,1
928,june,1,1
929,they,1,1
930,found,1,1
931,national,1,1
932,testing,1,1
933,campaign,1,1
934,missed,1,1
935,people,1,1
936,showed,1,1
937,symptoms,1,1
938,time,1,1
939,infections,1,1
940,country,1,1
941,declining,1,1
942,pullano,1,1
943,et,1,1
944,al,1,1
945,nature,1,1
946,https,1,1
947,the,1,1
948,findings,1,1
949,show,1,1
950,low,1,1
951,rate,1,1
952,positive,1,1
953,test,1,1
954,results,1,1
955,always,1,1
956,equate,1,1
957,high,1,1
958,rate,1,1
959,detected,1,1
960,cases,1,1
961,the,1,1
962,results,1,1
963,also,1,1
964,suggest,1,1
965,many,1,1
966,people,1,1
967,symptoms,1,1
968,seek,1,1
969,medical,1,1
970,advice,1,1
971,testing,1,1
972,countries,1,1
973,need,1,1
974,implement,1,1
975,aggressive,1,1
976,efficient,1,1
977,testing,1,1
978,people,1,1
979,suspected,1,1
980,infections,1,1
981,surveillance,1,1
982,useful,1,1
983,tool,1,1
984,fighting,1,1
985,pandemic,1,1
986,researchers,1,1
987,say,1,1
988,december,1,1
989,orders,1,1
990,limited,1,1
991,value,1,1
992,curbing,1,1
993,covid,1,1
994,an,1,1
995,analysis,1,1
996,data,1,1
997,countries,1,1
998,identified,1,1
999,measures,1,1
1000,substantially,1,1
1001,cut,1,1
1002,viral,1,1
1003,transmission,1,1
1004,school,1,1
1005,university,1,1
1006,closures,1,1
1007,restricting,1,1
1008,gatherings,1,1
1009,people,1,1
1010,shutting,1,1
1011,businesses,1,1
1012,but,1,1
1013,adding,1,1
1014,orders,1,1
1015,actions,1,1
1016,brought,1,1
1017,marginal,1,1
1018,benefit,1,1
1019,questions,1,1
1020,linger,1,1
1021,relative,1,1
1022,effectiveness,1,1
1023,specific,1,1
1024,measures,1,1
1025,reduce,1,1
1026,spread,1,1
1027,to,1,1
1028,pinpoint,1,1
1029,useful,1,1
1030,jan,1,1
1031,brauner,1,1
1032,university,1,1
1033,oxford,1,1
1034,uk,1,1
1035,colleagues,1,1
1036,modelled,1,1
1037,number,1,1
1038,new,1,1
1039,infections,1,1
1040,countries,1,1
1041,january,1,1
1042,either,1,1
1043,may,1,1
1044,first,1,1
1045,easing,1,1
1046,restrictions,1,1
1047,brauner,1,1
1048,et,1,1
1049,al,1,1
1050,science,1,1
1051,https,1,1
1052,the,1,1
1053,team,1,1
1054,also,1,1
1055,examined,1,1
1056,country,1,1
1057,implemented,1,1
1058,seven,1,1
1059,common,1,1
1060,measures,1,1
1061,by,1,1
1062,combining,1,1
1063,two,1,1
1064,data,1,1
1065,sets,1,1
1066,researchers,1,1
1067,found,1,1
1068,closing,1,1
1069,schools,1,1
1070,universities,1,1
1071,large,1,1
1072,effect,1,1
1073,dampening,1,1
1074,viral,1,1
1075,spread,1,1
1076,most,1,1
1077,countries,1,1
1078,closed,1,1
1079,schools,1,1
1080,universities,1,1
1081,quick,1,1
1082,succession,1,1
1083,making,1,1
1084,impossible,1,1
1085,team,1,1
1086,disentangle,1,1
1087,effects,1,1
1088,type,1,1
1089,closure,1,1
1090,in,1,1
1091,countries,1,1
1092,closed,1,1
1093,schools,1,1
1094,businesses,1,1
1095,restricted,1,1
1096,gatherings,1,1
1097,order,1,1
1098,little,1,1
1099,reduce,1,1
1100,transmission,1,1
1101,authors,1,1
1102,found,1,1
1103,december,1,1
1104,antibodies,1,1
1105,linked,1,1
1106,severe,1,1
1107,covid,1,1
1108,antibodies,1,1
1109,usually,1,1
1110,fight,1,1
1111,infection,1,1
1112,occasionally,1,1
1113,immune,1,1
1114,system,1,1
1115,makes,1,1
1116,erroneously,1,1
1117,attack,1,1
1118,body,1,1
1119,organs,1,1
1120,even,1,1
1121,immune,1,1
1122,system,1,1
1123,new,1,1
1124,results,1,1
1125,show,1,1
1126,autoantibodies,1,1
1127,might,1,1
1128,explain,1,1
1129,people,1,1
1130,severe,1,1
1131,reaction,1,1
1132,infection,1,1
1133,akiko,1,1
1134,iwasaki,1,1
1135,aaron,1,1
1136,ring,1,1
1137,yale,1,1
1138,school,1,1
1139,medicine,1,1
1140,new,1,1
1141,haven,1,1
1142,connecticut,1,1
1143,colleagues,1,1
1144,studied,1,1
1145,people,1,1
1146,found,1,1
1147,seriously,1,1
1148,ill,1,1
1149,high,1,1
1150,levels,1,1
1151,autoantibody,1,1
1152,activity,1,1
1153,wang,1,1
1154,et,1,1
1155,al,1,1
1156,preprint,1,1
1157,medrxiv,1,1
1158,https,1,1
1159,some,1,1
1160,autoantibodies,1,1
1161,attacked,1,1
1162,body,1,1
1163,immune,1,1
1164,cells,1,1
1165,hampering,1,1
1166,ability,1,1
1167,fight,1,1
1168,infection,1,1
1169,others,1,1
1170,attacked,1,1
1171,central,1,1
1172,nervous,1,1
1173,system,1,1
1174,heart,1,1
1175,liver,1,1
1176,connective,1,1
1177,tissue,1,1
1178,no,1,1
1179,single,1,1
1180,autoantibody,1,1
1181,common,1,1
1182,enough,1,1
1183,used,1,1
1184,distinguish,1,1
1185,people,1,1
1186,uninfected,1,1
1187,people,1,1
1188,the,1,1
1189,authors,1,1
1190,say,1,1
1191,diversity,1,1
1192,autoantibodies,1,1
1193,could,1,1
1194,explain,1,1
1195,various,1,1
1196,disease,1,1
1197,states,1,1
1198,follow,1,1
1199,december,1,1
1200,a,1,1
1201,drug,1,1
1202,duo,1,1
1203,helps,1,1
1204,people,1,1
1205,severe,1,1
1206,covid,1,1
1207,a,1,1
1208,combination,1,1
1209,drugs,1,1
1210,baricitinib,1,1
1211,remdesivir,1,1
1212,shaved,1,1
1213,one,1,1
1214,day,1,1
1215,recovery,1,1
1216,people,1,1
1217,hospitalized,1,1
1218,the,1,1
1219,us,1,1
1220,national,1,1
1221,institutes,1,1
1222,health,1,1
1223,recommends,1,1
1224,remdesivir,1,1
1225,treatment,1,1
1226,people,1,1
1227,but,1,1
1228,questions,1,1
1229,linger,1,1
1230,remdesivir,1,1
1231,effectiveness,1,1
1232,world,1,1
1233,health,1,1
1234,organization,1,1
1235,cautions,1,1
1236,use,1,1
1237,to,1,1
1238,test,1,1
1239,part,1,1
1240,combination,1,1
1241,therapy,1,1
1242,andre,1,1
1243,kalil,1,1
1244,university,1,1
1245,nebraska,1,1
1246,medical,1,1
1247,center,1,1
1248,omaha,1,1
1249,colleagues,1,1
1250,gave,1,1
1251,remdesivir,1,1
1252,drug,1,1
1253,baricitinib,1,1
1254,roughly,1,1
1255,people,1,1
1256,hospitalized,1,1
1257,moderate,1,1
1258,severe,1,1
1259,kalil,1,1
1260,et,1,1
1261,al,1,1
1262,engl,1,1
1263,med,1,1
1264,https,1,1
1265,some,1,1
1266,people,1,1
1267,control,1,1
1268,group,1,1
1269,received,1,1
1270,remdesivir,1,1
1271,placebo,1,1
1272,the,1,1
1273,team,1,1
1274,monitored,1,1
1275,long,1,1
1276,took,1,1
1277,participants,1,1
1278,recover,1,1
1279,enough,1,1
1280,go,1,1
1281,without,1,1
1282,sustained,1,1
1283,medical,1,1
1284,care,1,1
1285,those,1,1
1286,took,1,1
1287,drugs,1,1
1288,median,1,1
1289,time,1,1
1290,recovery,1,1
1291,seven,1,1
1292,days,1,1
1293,compared,1,1
1294,eight,1,1
1295,days,1,1
1296,took,1,1
1297,remdesivir,1,1
1298,but,1,1
1299,people,1,1
1300,edge,1,1
1301,requiring,1,1
1302,invasive,1,1
1303,ventilation,1,1
1304,median,1,1
1305,recovery,1,1
1306,time,1,1
1307,fell,1,1
1308,days,1,1
1309,remdesivir,1,1
1310,alone,1,1
1311,days,1,1
1312,drugs,1,1
1313,december,1,1
1314,how,1,1
1315,save,1,1
1316,lives,1,1
1317,covid,1,1
1318,vaccine,1,1
1319,scarce,1,1
1320,workers,1,1
1321,probably,1,1
1322,first,1,1
1323,get,1,1
1324,vaccines,1,1
1325,next,1,1
1326,queue,1,1
1327,supplies,1,1
1328,limited,1,1
1329,models,1,1
1330,suggest,1,1
1331,elderly,1,1
1332,people,1,1
1333,kate,1,1
1334,bubar,1,1
1335,daniel,1,1
1336,larremore,1,1
1337,university,1,1
1338,colorado,1,1
1339,boulder,1,1
1340,colleagues,1,1
1341,modelled,1,1
1342,effects,1,1
1343,rolling,1,1
1344,vaccine,1,1
1345,various,1,1
1346,age,1,1
1347,groups,1,1
1348,given,1,1
1349,priority,1,1
1350,bubar,1,1
1351,et,1,1
1352,al,1,1
1353,preprint,1,1
1354,medrxiv,1,1
1355,https,1,1
1356,the,1,1
1357,researchers,1,1
1358,also,1,1
1359,examined,1,1
1360,influence,1,1
1361,rate,1,1
1362,viral,1,1
1363,spread,1,1
1364,population,1,1
1365,speed,1,1
1366,vaccine,1,1
1367,delivery,1,1
1368,effectiveness,1,1
1369,protection,1,1
1370,offered,1,1
1371,vaccine,1,1
1372,the,1,1
1373,team,1,1
1374,found,1,1
1375,scenarios,1,1
1376,giving,1,1
1377,jabs,1,1
1378,people,1,1
1379,older,1,1
1380,age,1,1
1381,groups,1,1
1382,saved,1,1
1383,greatest,1,1
1384,number,1,1
1385,lives,1,1
1386,but,1,1
1387,prevent,1,1
1388,many,1,1
1389,people,1,1
1390,possible,1,1
1391,getting,1,1
1392,infected,1,1
1393,countries,1,1
1394,prioritize,1,1
1395,younger,1,1
1396,age,1,1
1397,groups,1,1
1398,according,1,1
1399,analysis,1,1
1400,targeting,1,1
1401,people,1,1
1402,infected,1,1
1403,receive,1,1
1404,vaccine,1,1
1405,might,1,1
1406,cut,1,1
1407,deaths,1,1
1408,infections,1,1
1409,regions,1,1
1410,researchers,1,1
1411,say,1,1
1412,this,1,1
1413,could,1,1
1414,achieved,1,1
1415,testing,1,1
1416,antibodies,1,1
1417,indicates,1,1
1418,history,1,1
1419,recent,1,1
1420,infection,1,1
1421,the,1,1
1422,findings,1,1
1423,yet,1,1
1424,peer,1,1
1425,reviewed,1,1
1426,december,1,1
1427,a,1,1
1428,coronavirus,1,1
1429,vaccine,1,1
1430,shows,1,1
1431,lasting,1,1
1432,benefit,1,1
1433,people,1,1
1434,given,1,1
1435,vaccine,1,1
1436,still,1,1
1437,high,1,1
1438,levels,1,1
1439,potent,1,1
1440,antibodies,1,1
1441,coronavirus,1,1
1442,four,1,1
1443,months,1,1
1444,first,1,1
1445,jab,1,1
1446,biotech,1,1
1447,firm,1,1
1448,moderna,1,1
1449,cambridge,1,1
1450,massachusetts,1,1
1451,reported,1,1
1452,vaccine,1,1
1453,effective,1,1
1454,preventing,1,1
1455,to,1,1
1456,gauge,1,1
1457,whether,1,1
1458,protection,1,1
1459,lasts,1,1
1460,alicia,1,1
1461,widge,1,1
1462,us,1,1
1463,national,1,1
1464,institute,1,1
1465,allergy,1,1
1466,infectious,1,1
1467,diseases,1,1
1468,bethesda,1,1
1469,maryland,1,1
1470,colleagues,1,1
1471,analysed,1,1
1472,blood,1,1
1473,study,1,1
1474,volunteers,1,1
1475,received,1,1
