,1.txt,10.txt,2.txt,3.txt,4.txt,5.txt,6.txt,7.txt,8.txt,9.txt
varied,3,1,0,0,0,0,1,0,0,0
substantially,4,0,0,0,1,1,0,0,2,0
consequential,1,0,0,0,0,0,0,0,0,0
location,6,0,0,0,0,0,0,0,0,0
caused,18,0,0,0,0,0,0,1,0,2
steep,1,0,0,0,0,0,0,0,0,0
drop,1,1,0,0,0,0,0,0,0,0
potency,2,0,0,0,0,0,0,0,0,0
individual,23,8,1,0,2,0,1,8,1,3
coronavirus,160,2,5,3,5,4,0,1,0,8
variant,31,0,0,0,0,3,0,0,0,0
south,3,0,0,1,0,0,0,1,0,0
africa,3,0,0,1,0,0,0,0,0,0
brazil,3,0,0,1,0,0,0,0,0,0
carry,6,0,0,0,0,0,0,0,0,0
spot,2,0,0,0,0,0,1,0,0,0
finding,54,1,2,0,3,3,0,1,1,4
yet,56,0,0,1,6,1,0,0,0,1
peer,66,0,0,0,0,0,0,0,0,0
reviewed,65,0,0,0,0,1,0,0,0,0
gone,3,0,0,0,0,0,0,0,0,0
wild,1,0,0,0,0,0,0,0,0,0
tied,3,0,0,0,0,0,0,0,0,0
lung,26,0,0,0,0,3,0,5,0,19
damage,7,0,0,0,0,0,0,2,0,1
some,13,0,0,0,0,0,0,0,0,1
severe,48,8,18,6,2,9,0,4,0,13
respiratory,20,0,20,4,3,6,0,3,0,9
symptom,78,5,12,1,8,29,0,5,2,49
seem,1,0,0,0,0,0,0,0,1,0
result,50,6,7,15,13,12,0,3,0,11
activity,11,0,0,0,3,0,0,1,0,5
specific,8,1,1,1,0,1,0,0,0,0
cause,18,6,1,4,0,1,1,0,0,1
inflammation,11,0,0,0,0,0,0,0,0,0
alexander,2,0,0,0,0,0,0,0,0,0
misharin,1,0,0,0,0,0,0,0,0,0
northwestern,1,0,0,0,0,1,0,0,0,0
university,102,0,0,0,0,2,1,0,0,0
evanston,1,0,0,0,0,0,0,0,0,0
illinois,2,0,0,0,0,0,0,0,0,0
examined,10,0,0,1,0,2,0,0,0,0
fluid,1,0,0,0,0,0,0,0,0,0
pneumonia,6,0,0,14,0,0,0,1,0,2
infection,155,38,4,5,1,3,0,5,8,6
grant,1,0,0,0,0,0,0,0,0,0
nature,25,1,0,0,0,0,0,0,0,0
most,8,0,1,0,1,1,0,0,0,0
high,34,9,7,3,8,3,1,3,0,3
number,21,1,7,3,6,1,0,1,3,3
certain,2,0,0,0,1,0,0,0,0,0
type,11,1,1,1,1,0,0,0,0,0
t,20,1,0,0,0,0,0,0,0,0
class,7,0,0,0,0,0,0,0,0,0
found,120,1,0,1,1,0,0,1,3,7
nearly,21,0,0,0,0,1,0,0,0,1
alveolar,1,0,0,0,0,0,0,0,0,0
macrophage,3,0,0,0,0,0,0,0,0,0
located,1,0,0,0,0,0,0,0,0,0
tiny,3,0,0,0,0,0,0,0,0,0
air,5,0,2,1,0,1,0,0,0,0
sac,1,0,0,0,0,0,0,0,0,0
contained,3,2,0,0,0,0,0,0,0,0
harbouring,2,0,0,0,0,0,0,0,0,0
showed,33,1,5,3,1,2,0,1,0,9
relatively,11,1,0,0,0,0,0,0,0,0
expression,1,0,0,0,0,0,0,0,0,0
gene,18,0,0,0,0,1,0,0,0,0
involved,3,0,1,0,4,0,0,0,0,0
suggest,22,3,0,1,2,1,0,0,0,1
reach,1,2,2,0,0,0,0,0,0,0
infect,26,0,0,0,0,0,0,0,0,0
respond,3,0,0,0,0,0,0,0,0,0
producing,2,0,0,0,0,0,0,0,0,0
inflammatory,6,0,0,1,0,0,0,0,0,1
molecule,23,0,0,0,0,0,0,0,0,0
attract,1,0,0,0,0,0,0,0,0,0
turn,2,0,0,0,0,0,0,0,1,0
produce,10,1,0,0,0,0,0,0,0,0
stimulates,3,0,0,0,0,0,0,0,0,0
make,17,1,0,0,2,0,0,0,0,0
this,25,1,3,4,7,4,2,0,1,6
persistent,2,0,1,0,0,0,0,0,0,11
could,103,1,1,4,4,1,0,1,0,4
lead,6,0,0,2,1,1,0,0,1,0
consequence,2,1,0,0,0,0,0,0,0,22
traitorous,1,0,0,0,0,0,0,0,0,0
linked,14,0,0,0,0,0,0,0,0,0
death,31,2,4,24,5,3,1,1,2,3
normally,2,0,0,0,0,0,0,0,0,0
attack,9,3,0,0,0,0,0,0,0,0
pathogen,7,5,0,0,0,0,0,0,1,0
sometimes,3,0,0,0,0,0,0,0,1,0
rogue,1,0,0,0,0,0,0,0,0,0
instead,5,0,0,0,0,0,1,0,3,0
besiege,1,0,0,0,0,0,0,0,0,0
bodily,1,0,0,0,0,0,0,0,0,0
component,6,4,0,0,2,0,0,0,0,0
now,5,0,0,0,0,0,0,0,0,0
new,106,1,1,2,2,1,1,0,2,8
study,77,5,4,4,7,5,0,3,0,48
add,5,0,0,1,0,0,0,0,0,0
growing,2,0,0,0,0,0,0,0,0,0
body,25,0,0,3,0,0,0,0,0,0
tying,1,0,0,0,0,0,0,0,0,0
autoantibody,11,0,0,0,0,0,0,0,0,0
poor,1,0,0,0,0,0,0,0,1,3
outcome,2,1,4,25,5,21,1,0,0,11
ana,1,0,4,0,0,0,0,0,0,0
rodriguez,1,0,0,0,0,0,0,0,0,0
david,10,0,0,0,0,0,0,0,0,0
lee,2,0,0,0,0,0,0,0,0,0
nyu,1,0,0,0,0,0,0,0,0,0
grossman,1,0,0,0,0,0,0,0,0,0
school,43,0,0,0,0,1,3,0,0,1
medicine,16,0,0,0,0,2,4,0,0,0
york,14,0,0,0,0,0,0,0,0,0
city,28,0,0,0,0,0,0,0,0,0
level,71,3,1,5,0,2,1,0,1,4
collected,11,0,0,1,1,1,0,0,0,6
required,5,2,0,0,0,1,0,1,0,2
hospitalization,4,0,1,2,2,19,0,0,0,0
particularly,5,0,1,0,2,0,0,2,0,1
interested,1,0,0,0,0,0,0,0,0,0
annexin,3,0,0,0,0,0,0,0,0,0
stabilize,1,0,0,0,0,0,0,0,0,0
structure,10,0,0,0,0,0,0,0,0,0
it,4,1,0,0,1,1,0,0,1,0
play,3,0,0,1,0,0,0,0,0,0
part,14,0,0,0,1,0,0,0,0,1
ensuring,1,0,0,0,0,0,0,0,0,1
integrity,1,0,0,0,0,0,0,0,0,2
vessel,2,0,0,0,0,0,0,0,0,0
blocking,4,1,1,0,0,1,0,0,0,0
injury,2,0,0,0,0,2,0,1,0,10
hallmark,2,0,0,0,0,0,0,0,0,0
scientist,15,0,0,0,0,0,0,0,0,0
average,5,0,0,0,5,0,0,0,0,0
higher,16,3,4,5,8,4,0,3,1,25
eventually,5,1,0,0,0,0,0,0,0,0
died,7,0,1,4,0,0,0,1,0,4
survived,2,0,0,1,0,0,0,0,0,0
difference,7,0,3,6,11,10,0,0,1,4
statistically,5,0,0,0,0,0,0,1,0,1
significant,6,2,1,1,0,0,0,0,0,9
zuniga,1,0,0,0,0,0,0,0,0,0
medrxiv,40,0,0,0,0,0,0,0,0,0
more,6,0,0,0,1,0,0,0,0,2
necessary,2,3,0,0,0,0,0,0,0,2
establish,1,0,0,0,0,0,0,0,0,0
clear,2,0,2,0,0,1,0,0,0,0
causal,1,0,0,0,0,0,0,0,0,0
link,6,0,0,0,0,1,0,0,0,0
rare,4,0,0,0,0,0,0,0,0,0
quick,5,0,0,0,0,0,0,0,0,0
treatment,24,1,3,9,9,15,0,2,0,3
cut,7,0,0,0,0,0,0,0,0,0
risk,30,1,10,6,5,4,1,1,15,21
clinical,9,0,7,24,11,12,0,4,0,5
trial,20,0,43,51,44,24,0,0,0,4
older,14,6,10,3,1,3,1,0,0,0
adult,14,3,8,0,0,0,1,0,0,4
show,35,7,0,2,0,2,0,0,0,3
early,27,3,12,0,2,3,0,0,2,1
dose,15,0,0,2,14,17,0,0,0,0
plasma,14,0,59,0,2,1,0,0,0,4
prevent,18,3,0,0,0,1,0,0,0,0
progression,1,0,6,8,0,1,0,0,0,0
disease,54,14,25,11,3,10,2,6,0,33
contains,2,0,0,0,0,1,0,0,0,0
mixed,2,0,0,1,1,1,0,0,0,0
suggested,10,0,2,0,0,0,0,0,0,0
need,13,5,1,1,0,0,0,0,0,2
given,12,0,3,0,3,2,4,1,2,1
course,5,0,4,2,1,2,0,1,0,0
effective,15,2,1,0,1,0,1,1,0,0
fernando,1,0,0,0,0,0,0,0,0,0
polack,1,0,0,0,0,0,0,0,0,0
fundación,1,0,4,0,0,0,0,0,0,0
infant,2,0,2,0,0,0,0,0,0,0
buenos,1,0,3,0,0,0,0,0,0,0
aire,1,0,3,0,0,0,0,0,0,0
conducted,8,0,2,4,3,2,0,0,0,0
rigorous,2,0,0,0,0,0,0,0,0,0
ass,6,0,2,2,1,2,0,0,1,2
within,18,3,6,2,1,2,0,0,1,1
hour,4,0,13,2,4,1,0,0,7,0
onset,8,0,5,0,2,2,0,0,0,19
participant,40,0,0,0,0,0,0,0,0,48
included,8,0,7,7,7,4,0,0,0,12
age,30,9,10,8,2,4,0,1,0,15
least,27,0,4,3,3,4,1,1,0,5
one,77,3,9,6,8,8,2,2,5,11
condition,10,0,7,5,1,1,3,0,0,1
diabetes,3,0,2,0,0,0,0,0,0,5
libster,1,0,1,0,0,0,0,0,0,0
engl,14,0,0,0,0,0,0,0,0,0
med,20,0,0,0,0,0,0,0,0,0
developed,34,0,4,0,0,1,1,0,0,1
received,17,0,15,22,5,15,0,0,0,9
placebo,12,0,24,38,21,36,0,0,0,0
group,23,2,23,55,24,42,5,0,2,3
donor,5,0,8,0,0,0,0,0,0,0
containing,2,0,0,0,1,0,0,0,0,0
concentration,8,0,5,0,4,0,0,0,0,10
associated,9,1,5,3,4,0,0,0,4,9
greater,3,0,2,3,3,0,1,0,0,1
developing,3,0,0,0,0,0,0,0,0,0
providing,4,0,0,0,0,1,1,0,0,0
evidence,26,2,0,0,0,1,0,0,0,5
responsible,10,0,0,0,1,0,0,1,0,0
therapeutic,2,0,2,0,1,0,0,1,0,0
grows,1,0,0,0,0,0,0,0,0,0
swift,2,0,0,0,0,0,0,0,0,0
spread,74,4,0,0,0,1,1,2,0,0
two,66,2,5,9,5,3,0,2,3,2
independent,2,0,1,0,3,0,0,0,0,0
analysis,37,5,14,15,36,20,0,0,0,12
overtaking,1,0,0,0,0,0,0,0,0,0
united,24,0,0,5,0,1,0,0,0,0
kingdom,7,0,0,0,0,0,0,0,0,0
indeed,1,2,0,0,0,0,0,0,0,0
transmissible,3,1,0,0,0,0,0,0,0,0
form,8,1,3,0,1,1,0,0,0,1
eric,2,0,0,0,0,0,0,0,0,0
volz,2,0,0,0,0,0,0,0,0,0
neil,2,0,0,0,0,0,0,0,0,0
ferguson,1,0,0,0,0,0,0,0,0,0
imperial,3,0,0,0,0,1,0,0,0,0
college,9,0,0,0,0,0,0,0,0,4
london,11,0,0,0,0,0,0,0,0,0
genome,19,0,0,0,0,0,0,0,0,0
labelled,1,0,0,0,0,0,0,0,0,0
concern,4,0,0,1,0,0,0,0,0,3
october,17,0,1,0,0,1,0,0,0,0
december,14,0,0,1,3,0,0,0,0,0
analysed,32,0,0,0,0,0,0,0,0,1
roughly,26,0,0,0,0,0,0,0,0,0
uk,18,0,0,0,0,0,0,0,0,0
test,98,0,3,7,2,2,0,1,0,35
administered,3,0,6,1,1,4,0,1,0,0
late,14,0,1,0,0,1,0,0,0,0
estimating,1,0,0,0,0,0,0,0,0,0
frequency,3,1,0,0,0,4,0,0,1,0
time,28,4,6,23,9,11,2,0,7,8
author,67,0,8,2,5,3,0,0,0,4
concluded,1,0,0,0,0,0,0,0,0,0
lockdown,16,0,0,0,0,0,0,1,0,0
november,13,0,1,1,0,0,0,0,0,0
curbed,1,0,0,0,0,0,0,0,0,0
case,52,9,4,2,0,0,1,2,1,3
viral,115,1,2,1,46,53,0,1,0,2
rose,2,0,0,0,0,0,0,0,0,0
separate,7,1,0,0,1,0,0,0,0,0
used,35,1,3,4,2,3,0,1,0,17
genomic,8,0,0,0,0,0,0,0,0,0
data,24,5,11,7,24,7,0,1,3,27
analyse,3,0,0,0,0,0,0,0,0,0
last,5,0,2,3,0,1,0,0,0,0
month,38,1,2,0,1,0,0,0,3,16
nicholas,1,0,0,0,0,0,0,0,0,0
davy,2,0,0,0,0,0,0,0,0,0
hygiene,3,0,0,0,0,0,0,0,0,0
tropical,4,0,0,0,0,0,0,0,0,0
estimated,3,0,1,3,1,0,0,0,0,3
review,2,0,2,5,2,0,1,0,0,0
curb,1,1,0,0,0,0,0,0,0,0
outbreak,38,1,1,0,0,0,1,0,2,0
rapid,14,2,1,0,2,0,0,2,0,0
trade,1,0,0,0,0,0,0,0,0,0
away,1,0,0,0,0,0,0,0,0,0
degree,1,0,0,1,0,0,0,0,0,0
reliability,1,0,0,0,0,0,0,0,0,0
speed,4,0,0,0,0,0,1,0,0,0
prove,1,0,0,0,0,0,0,0,0,0
valuable,1,0,0,0,0,0,0,1,0,0
tool,3,1,1,0,0,0,0,0,0,1
community,9,0,0,0,0,0,1,0,1,0
hit,2,0,0,0,0,0,0,0,0,0
hard,3,1,0,0,0,0,0,0,0,0
in,30,7,11,15,15,10,2,0,3,9
week,26,0,0,0,0,0,0,0,2,0
diane,1,0,0,0,0,0,0,0,0,0
havlir,2,0,0,0,0,0,0,0,0,0
california,11,0,0,0,0,1,0,0,0,0
san,4,0,0,0,0,0,0,0,0,0
francisco,4,0,0,0,0,0,0,0,0,0
pilarowski,1,0,0,0,0,0,0,0,0,0
clin,5,0,0,0,0,0,0,0,0,0
inf,5,0,0,0,0,0,0,0,0,0
dis,14,0,0,0,0,0,0,0,0,0
all,14,0,1,2,4,3,0,0,0,10
volunteer,12,0,0,0,0,0,0,0,0,0
pcr,8,0,0,0,0,1,0,2,0,0
typically,3,0,0,0,0,0,0,0,0,0
return,2,0,1,0,0,0,0,0,3,0
four,15,4,3,0,0,1,0,1,4,0
day,45,0,16,39,21,38,0,0,6,9
state,29,3,1,5,0,1,7,0,0,0
detects,3,0,0,0,0,0,0,0,0,0
antigen,11,0,0,0,0,0,0,0,0,0
returned,3,0,0,0,0,0,0,0,0,0
binaxnow,1,0,0,0,0,0,0,0,0,0
made,11,0,0,0,2,0,0,0,0,2
abbott,3,0,0,0,0,0,0,0,0,0
laboratory,8,0,1,1,0,1,0,0,0,4
park,1,0,0,0,0,0,0,0,0,0
detected,22,0,0,0,0,0,0,0,0,0
positive,55,0,1,4,3,3,0,1,0,2
phone,3,0,0,0,0,0,0,0,0,0
call,1,0,0,0,0,0,0,0,0,0
advising,1,0,0,0,0,0,0,0,0,0
isolate,2,0,0,0,0,0,0,0,0,0
meant,1,0,0,0,0,0,0,0,0,0
le,29,0,5,0,0,1,0,0,0,8
likely,30,2,0,2,0,0,0,0,1,1
waited,1,0,0,0,0,0,0,0,0,0
approximately,1,1,1,0,3,3,0,0,0,1
confirmed,6,0,0,1,4,2,0,2,0,4
meaning,2,0,0,0,0,0,0,0,0,0
wrong,1,0,0,0,0,0,0,0,0,0
disclosed,3,0,0,0,0,0,0,0,0,0
receives,1,0,0,0,0,0,0,0,0,0
support,4,0,1,0,0,2,0,0,1,1
related,6,1,1,0,2,0,0,0,0,2
paper,4,0,1,0,0,0,0,0,0,0
vaccine,85,11,1,0,0,1,10,0,0,0
work,8,0,1,0,0,0,0,0,0,5
quickly,6,2,0,0,0,0,0,0,1,0
ward,5,0,0,0,0,0,0,0,2,0
an,19,0,1,1,5,1,0,0,0,1
recently,4,0,1,0,1,4,0,0,1,0
approved,1,0,2,5,0,0,0,0,0,1
u,26,2,0,0,1,0,0,0,0,1
regulator,1,0,0,0,0,0,0,0,0,0
provide,12,4,5,2,0,0,3,1,0,0
protection,12,5,2,1,0,1,3,0,0,0
first,43,1,1,4,7,0,0,0,0,2
according,35,0,3,12,5,2,0,2,0,7
large,12,0,1,0,0,1,0,1,0,0
on,3,0,1,0,0,5,0,0,0,0
food,2,0,1,0,0,1,0,0,0,0
drug,31,0,1,0,1,1,0,4,0,3
administration,2,0,7,0,1,1,3,0,0,0
granted,1,0,1,0,0,0,0,0,0,0
authorization,1,0,1,0,0,0,0,0,0,0
moderna,4,0,0,0,0,0,1,0,0,0
cambridge,10,0,0,0,0,0,0,0,0,0
massachusetts,27,0,0,0,0,0,0,0,0,0
shortly,4,0,0,0,0,0,0,0,0,0
thereafter,2,0,0,0,0,0,0,0,0,0
lindsey,1,0,0,0,0,0,0,0,0,0
baden,2,0,0,0,0,0,0,0,0,0
brigham,3,0,0,0,0,0,0,0,0,0
woman,12,0,1,0,0,1,0,1,0,14
hospital,37,1,6,8,0,1,0,3,8,45
boston,17,0,0,1,0,0,0,0,0,0
hana,1,0,0,0,0,0,0,0,0,0
el,1,0,0,0,0,0,0,0,0,0
sahly,1,0,0,0,0,0,0,0,0,0
baylor,1,0,0,0,0,2,0,0,0,0
houston,1,0,1,0,0,0,0,0,0,0
texas,4,0,0,0,0,0,0,0,0,0
published,2,0,1,0,1,1,0,0,0,2
enrolled,3,0,0,1,1,0,0,0,0,8
half,11,0,0,0,0,0,0,0,0,0
dos,11,0,0,3,5,14,0,0,0,0
apart,3,0,0,0,0,0,0,0,0,1
preventing,4,3,1,0,1,0,1,0,0,0
symptomatic,4,0,0,1,2,0,0,5,0,0
preliminary,3,1,0,0,0,0,0,0,0,0
hint,2,0,0,0,0,0,0,0,0,0
defence,8,0,0,0,0,0,0,0,0,0
asymptomatic,8,2,1,0,0,2,0,1,3,1
write,6,0,0,0,0,0,0,0,0,0
arm,3,0,0,0,0,0,0,0,0,0
about,4,0,0,0,0,0,0,0,0,0
experienced,6,0,0,0,0,0,0,0,0,1
side,8,0,1,0,0,0,0,0,0,0
headache,1,0,0,0,0,0,0,0,0,0
second,20,0,0,0,0,0,0,0,0,1
serious,3,0,1,4,4,1,0,1,0,0
occurred,7,0,2,8,4,2,0,0,0,2
frequently,5,1,0,0,0,2,0,1,0,0
vaccinated,8,0,0,0,0,0,0,0,0,0
how,4,0,0,0,0,0,0,0,1,0
french,1,0,0,0,0,0,0,0,0,0
evaded,1,0,0,0,0,0,0,0,0,0
detection,4,1,1,0,1,0,0,0,0,0
france,9,0,0,0,0,0,0,0,0,0
ended,2,0,0,0,0,0,0,0,0,0
nine,4,0,0,0,0,0,0,2,0,0
resident,16,0,2,1,0,0,2,2,0,0
went,2,0,0,0,0,0,0,0,0,0
undetected,4,0,0,0,0,0,0,0,0,0
every,15,0,0,0,0,0,0,0,0,0
person,38,1,2,3,3,1,0,0,0,0
despite,4,0,0,1,1,0,0,0,1,0
nationwide,2,0,0,0,0,0,0,2,0,0
surveillance,6,1,0,1,0,0,0,0,0,0
programme,3,0,0,0,0,0,0,0,0,0
reopened,3,0,0,0,0,0,0,0,0,0
may,38,18,1,6,3,1,0,0,0,4
adopted,1,0,0,0,0,0,0,0,0,0
strategy,3,2,3,0,0,0,2,1,0,0
testing,46,0,1,0,4,6,1,2,0,0
contact,32,2,0,1,0,0,0,0,0,0
tracing,4,0,0,0,0,0,0,0,0,0
isolation,6,0,0,0,0,0,1,0,5,1
keep,5,0,0,0,0,0,0,0,0,0
check,4,0,0,0,0,0,0,0,0,0
vittoria,1,0,0,0,0,0,0,0,0,0
colizza,1,0,0,0,0,0,0,0,0,0
pierre,1,0,0,0,0,0,0,0,0,0
louis,3,0,0,0,0,0,0,0,0,0
institute,29,0,0,1,1,3,0,1,0,0
epidemiology,1,0,0,0,0,0,0,0,0,0
public,19,2,0,1,0,0,1,0,0,0
health,27,2,1,5,2,4,5,1,1,18
paris,4,0,0,0,0,0,0,0,0,0
modelled,10,0,0,0,0,0,0,0,0,0
transmission,34,13,0,0,0,0,0,0,8,0
june,21,0,1,0,1,1,0,0,0,3
they,14,0,0,0,0,0,0,0,0,1
national,11,0,0,1,0,1,1,0,0,10
campaign,3,0,1,0,0,0,0,0,0,0
missed,3,0,0,0,0,0,0,0,0,1
country,25,0,1,3,0,0,0,0,0,0
declining,5,0,0,0,0,0,0,0,0,0
pullano,1,0,0,0,0,0,0,0,0,0
low,21,5,0,0,4,0,0,2,0,1
rate,17,10,2,3,0,2,1,0,1,6
always,1,0,0,0,0,0,0,0,0,0
equate,1,0,0,0,0,0,0,0,0,0
many,21,1,1,0,0,1,0,0,1,0
seek,1,0,0,0,0,0,0,0,0,0
medical,23,0,2,0,2,5,2,0,0,17
advice,1,0,0,0,0,0,0,0,0,0
implement,1,0,0,0,0,0,0,0,0,0
aggressive,1,0,0,0,0,0,0,0,0,0
efficient,3,0,0,0,0,0,0,0,0,1
suspected,1,0,0,1,0,0,0,3,0,0
useful,4,0,0,0,1,1,0,1,0,0
fighting,1,0,0,0,0,0,0,0,0,0
pandemic,14,2,3,1,0,2,1,3,6,1
say,62,0,0,0,0,0,0,0,1,0
order,4,0,2,1,0,0,0,0,0,2
limited,3,0,0,2,0,0,2,3,3,2
value,2,0,0,0,0,8,0,0,0,11
curbing,2,0,0,0,0,0,0,0,0,0
measure,21,4,0,1,2,4,0,0,0,2
closure,5,0,0,0,0,0,0,0,0,0
restricting,2,0,0,0,0,0,0,0,0,0
gathering,3,0,0,0,0,0,0,0,0,0
shutting,1,0,0,0,0,0,0,0,0,0
business,4,0,0,0,0,0,0,0,0,0
adding,1,0,0,0,0,0,0,0,1,0
action,6,0,0,0,0,0,0,0,0,0
brought,1,0,0,0,0,0,0,0,0,0
marginal,1,0,0,0,0,0,0,0,0,0
benefit,5,0,3,7,8,0,0,0,1,1
question,3,4,0,1,0,0,0,0,0,1
linger,4,0,0,0,0,0,0,0,0,0
relative,6,0,9,1,2,0,0,0,0,0
effectiveness,4,0,0,0,0,0,0,0,0,0
reduce,4,2,1,3,3,2,0,0,6,1
pinpoint,4,0,0,0,0,0,0,0,0,0
jan,1,0,0,0,0,0,0,0,0,5
brauner,2,0,0,0,0,0,0,0,0,0
oxford,7,0,0,0,0,0,0,0,0,0
either,16,0,1,7,2,3,0,0,0,0
easing,1,0,0,0,0,0,0,0,0,0
restriction,2,0,0,0,0,0,0,1,5,2
science,18,0,0,0,0,1,1,0,0,12
implemented,1,0,0,0,0,0,0,0,2,0
seven,9,0,0,0,0,0,0,0,0,1
common,19,2,0,1,0,0,0,0,1,13
by,8,0,1,0,1,1,1,0,0,0
combining,2,0,0,0,0,0,0,0,0,0
set,3,0,1,0,5,0,0,0,0,2
closing,1,0,0,0,0,0,0,0,0,0
dampening,1,0,0,0,0,0,0,0,0,0
closed,3,0,0,0,0,0,0,0,0,0
succession,1,0,0,0,0,0,0,0,0,0
making,7,0,0,1,0,0,0,0,0,0
impossible,1,0,2,0,0,0,0,0,0,0
disentangle,1,0,0,0,0,0,0,0,0,0
restricted,2,0,0,0,0,0,0,0,0,0
little,5,1,0,0,0,0,0,0,2,0
usually,2,0,0,0,0,0,0,0,0,0
fight,8,0,0,0,0,0,0,0,0,0
occasionally,1,0,0,0,0,0,0,0,0,0
system,29,1,1,1,2,0,0,2,0,0
erroneously,1,0,0,0,0,0,0,0,0,0
organ,8,0,1,0,0,0,0,1,0,3
even,18,2,0,0,1,2,0,0,4,1
explain,11,0,0,1,0,0,0,0,0,0
reaction,8,0,0,0,6,2,0,0,0,0
akiko,2,0,0,0,0,0,0,0,0,0
iwasaki,2,0,0,0,0,0,0,0,0,0
aaron,1,0,0,0,0,0,0,0,0,0
ring,1,0,0,0,0,0,0,0,0,0
yale,8,0,0,0,0,0,1,0,0,0
haven,8,0,0,0,0,0,1,0,0,0
connecticut,8,0,0,0,0,0,0,0,0,0
seriously,3,0,0,0,0,0,0,0,0,0
ill,33,0,2,1,0,0,1,0,0,3
wang,1,0,0,0,0,0,0,0,0,1
attacked,2,0,0,0,0,0,0,0,0,0
hampering,1,0,0,0,0,0,0,0,0,0
others,18,0,1,0,0,0,0,0,0,1
central,3,0,2,1,1,1,0,2,0,0
nervous,2,0,0,0,0,0,0,0,0,0
heart,6,0,0,0,0,0,0,0,0,2
liver,2,0,0,0,0,0,0,0,0,1
